x1,y1,z1,x2,y2,z2
9.93E+01,-3.06E+00,1.26E+01,1,805931,840959
9.64E+01,-3.87E+00,1.32E+01,1,805931,842843
9.74E+01,-3.18E+00,1.27E+01,1,805931,844349
1.00E+02,-3.69E+00,1.14E+01,1,805932,835679
9.93E+01,-3.77E+00,1.06E+01,1,805932,837187
9.95E+01,-3.75E+00,9.64E+00,1,805932,838319
1.00E+02,-3.66E+00,1.09E+01,1,805932,839451
1.01E+02,-4.91E+00,1.12E+01,1,805932,840958
1.00E+02,-4.93E+00,1.10E+01,1,805932,842841
9.62E+01,-5.69E+00,1.61E+01,1,805933,818100
9.80E+01,-6.01E+00,1.60E+01,1,805933,818479
9.62E+01,-6.36E+00,1.69E+01,1,805933,818859
9.70E+01,-7.23E+00,1.70E+01,1,805933,819145
9.71E+01,-5.61E+00,1.46E+01,1,805933,819524
9.61E+01,-5.97E+00,1.54E+01,1,805933,819902
9.69E+01,-2.67E+00,1.17E+01,1,805934,847365
9.68E+01,-3.09E+00,1.25E+01,1,805934,848873
9.45E+01,-2.66E+00,1.09E+01,1,805934,850381
9.58E+01,-3.44E+00,1.17E+01,1,805934,851889
9.70E+01,-4.22E+00,1.27E+01,1,805934,853021
9.55E+01,-2.78E+00,1.12E+01,1,805934,854905
9.77E+01,-5.89E+00,1.69E+01,1,805935,844351
9.75E+01,-5.94E+00,1.51E+01,1,805935,845482
9.78E+01,-6.31E+00,1.64E+01,1,805935,847366
9.70E+01,-6.64E+00,1.63E+01,1,805935,848874
9.65E+01,-6.25E+00,1.73E+01,1,805935,850382
9.55E+01,-5.53E+00,1.60E+01,1,805935,852103
9.67E+01,-2.59E+00,1.23E+01,1,805936,845483
9.59E+01,-3.99E+00,1.50E+01,1,805936,847367
9.77E+01,-3.99E+00,1.43E+01,1,805936,848875
9.74E+01,-4.02E+00,1.42E+01,1,805936,850383
9.81E+01,-3.32E+00,1.34E+01,1,805936,852267
9.67E+01,-3.18E+00,1.28E+01,1,805936,853776
1.00E+02,-3.42E+00,1.07E+01,1,805937,844350
1.01E+02,-3.31E+00,1.08E+01,1,805937,845481
9.98E+01,-5.04E+00,1.20E+01,1,805937,846988
9.94E+01,-4.93E+00,1.19E+01,1,805937,848120
1.01E+02,-3.19E+00,1.19E+01,1,805937,848876
9.89E+01,-4.32E+00,1.08E+01,1,805937,850384
9.69E+01,-4.56E+00,1.52E+01,1,805938,820279
9.70E+01,-4.30E+00,1.49E+01,1,805938,820656
9.87E+01,-6.00E+00,1.61E+01,1,805938,821033
9.72E+01,-6.91E+00,1.66E+01,1,805938,821411
9.89E+01,-3.99E+00,1.47E+01,1,805938,821790
9.83E+01,-4.89E+00,1.62E+01,1,805938,822170
9.71E+01,-2.91E+00,1.16E+01,1,805939,856037
9.70E+01,-2.78E+00,1.06E+01,1,805939,857545
9.64E+01,-3.56E+00,1.21E+01,1,805939,858676
9.49E+01,-3.77E+00,1.20E+01,1,805939,860183
9.52E+01,-2.47E+00,1.21E+01,1,805939,861314
9.73E+01,-3.41E+00,1.22E+01,1,805939,862446
9.73E+01,-4.98E+00,1.59E+01,1,805940,853774
9.62E+01,-4.96E+00,1.55E+01,1,805940,855283
9.74E+01,-6.44E+00,1.67E+01,1,805940,856791
9.74E+01,-6.44E+00,1.65E+01,1,805940,857735
9.79E+01,-5.18E+00,1.50E+01,1,805940,860184
9.74E+01,-6.45E+00,1.65E+01,1,805940,862068
9.75E+01,-3.71E+00,1.36E+01,1,805941,856036
9.69E+01,-3.35E+00,1.21E+01,1,805941,857544
9.68E+01,-3.92E+00,1.39E+01,1,805941,859053
9.83E+01,-4.36E+00,1.34E+01,1,805941,860185
9.67E+01,-3.42E+00,1.36E+01,1,805941,861315
9.66E+01,-3.54E+00,1.49E+01,1,805941,862447
1.01E+02,-4.11E+00,1.17E+01,1,805942,852456
9.89E+01,-5.20E+00,1.25E+01,1,805942,853775
9.72E+01,-4.24E+00,1.04E+01,1,805942,855282
9.89E+01,-4.37E+00,1.07E+01,1,805942,856414
9.86E+01,-4.70E+00,1.01E+01,1,805942,857546
9.95E+01,-3.65E+00,1.15E+01,1,805942,859054
9.80E+01,-5.14E+00,1.60E+01,1,805943,822549
9.79E+01,-4.76E+00,1.45E+01,1,805943,822927
9.77E+01,-6.24E+00,1.62E+01,1,805943,823687
9.84E+01,-5.15E+00,1.64E+01,1,805943,824067
9.82E+01,-5.33E+00,1.66E+01,1,805943,824444
9.63E+01,-3.16E+00,1.24E+01,1,805944,864330
9.60E+01,-3.45E+00,1.12E+01,1,805944,865838
9.73E+01,-3.93E+00,1.21E+01,1,805944,867723
9.52E+01,-2.44E+00,1.23E+01,1,805944,869232
9.53E+01,-2.53E+00,1.13E+01,1,805944,870740
9.65E+01,-2.66E+00,1.10E+01,1,805944,872624
9.79E+01,-5.60E+00,1.63E+01,1,805945,863577
9.67E+01,-6.82E+00,1.63E+01,1,805945,864333
9.76E+01,-6.11E+00,1.54E+01,1,805945,865841
9.93E+01,-7.04E+00,1.58E+01,1,805945,867725
9.75E+01,-5.42E+00,1.67E+01,1,805945,869233
9.66E+01,-5.60E+00,1.67E+01,1,805945,870741
9.72E+01,-3.37E+00,1.31E+01,1,805946,864331
9.70E+01,-3.26E+00,1.43E+01,1,805946,865840
